id	phenotype
HpGP-ALG-002-KVE91-02340	0
HpGP-ALG-003-KVE41-04560	0
HpGP-ALG-004-KVD71-04120	0
HpGP-ALG-006-KVD17-04490	0
HpGP-ALG-009-KVC69-04315	0
HpGP-ALG-010-KVB96-01205	0
HpGP-ARG-001-KVC91-04370	0
HpGP-ARG-006-KVD64-04280	0
HpGP-ARG-008-KVD98-04370	0
HpGP-ARG-009-KVC93-04550	0
HpGP-ARG-010-KVD57-04320	0
HpGP-BGD-001-KVC38-03310	0
HpGP-BGD-003-KVE71-05945	0
HpGP-BGD-004-KVC21-04620	0
HpGP-BGD-005-KVB94-05140	0
HpGP-BGD-008-KVC71-04205	0
HpGP-BGD-009-KVC48-03690	0
HpGP-BGR-001-KVE80-01545	0
HpGP-BGR-003-KVE54-01535	0
HpGP-BGR-005-KVC10-04535	0
HpGP-BGR-007-KVC42-04580	0
HpGP-BRA-001-KVC41-04315	0
HpGP-BRA-002-KVE09-04325	0
HpGP-BRA-004-Duplicated-1-KVC62-01600	0
HpGP-BRA-005-KVC26-04230	0
HpGP-BRA-007-KVD99-04280	0
HpGP-BRA-022-KVD33-04285	1
HpGP-BRA-023-KVC07-04270	1
HpGP-CAN-001-KVF10-02845	0
HpGP-CAN-002-KVC13-04480	0
HpGP-CAN-004-KVC95-04270	0
HpGP-CAN-008-KVE22-01575	0
HpGP-CHI-001-FE842-01800	0
HpGP-CHI-002-Duplicated-1-FE843-04230	0
HpGP-CHI-004-E5A80-04380	0
HpGP-CHI-005-Duplicated-1-E5A81-01545	0
HpGP-CHI-006-E5A82-04195	0
HpGP-CHI-011-E5A86-06275	0
HpGP-CHI-101-KVC30-04335	0
HpGP-CHI-102-E5D85-04415	0
HpGP-CHI-103-Duplicated-1-KVE67-04205	0
HpGP-CHI-110-Duplicated-1-FNE55-01740	0
HpGP-CHI-114-FNE56-04530	0
HpGP-CHI-204-KVE55-04515	0
HpGP-CHI-207-KVD77-03340	0
HpGP-CHI-208-KVF11-04360	0
HpGP-CHI-209-KVC12-01740	0
HpGP-CHI-210-Duplicated-1-KVC77-04175	0
HpGP-CHN-001-KVC52-02360	1
HpGP-CHN-002-KVC40-04360	1
HpGP-CHN-003-KVE74-04600	1
HpGP-CHN-004-KVC87-04445	1
HpGP-CHN-005-KVD53-04530	1
HpGP-CHN-006-KVF00-04335	1
HpGP-CHN-007-KVC57-04340	1
